season;year;month;day;hour;hour_sin;hour_cos;prev_temp;value
4;1946;1;24;7;0.9659258262890683;-0.25881904510252063;-6.5;-7.0
4;1946;1;24;14;-0.4999999999999997;-0.8660254037844388;-7.0;-0.8
4;1946;1;24;21;-0.7071067811865477;0.7071067811865474;-0.8;-7.7
4;1946;1;25;7;0.9659258262890683;-0.25881904510252063;-7.7;-10.3
4;1946;1;25;14;-0.4999999999999997;-0.8660254037844388;-10.3;-6.2
4;1946;1;25;21;-0.7071067811865477;0.7071067811865474;-6.2;-9.2
4;1946;1;26;7;0.9659258262890683;-0.25881904510252063;-9.2;-9.7
4;1946;1;26;14;-0.4999999999999997;-0.8660254037844388;-9.7;-3.2
4;1946;1;26;21;-0.7071067811865477;0.7071067811865474;-3.2;-8.9
4;1946;1;27;7;0.9659258262890683;-0.25881904510252063;-8.9;-9.7
