datetime;value
2012060718;5
2012060800;-999
2012060806;8
2012060812;2
2012060818;5
2012060900;-999
2012060906;1
2012060912;7
2012060918;8
2012061000;-999
2012061006;6
2012061012;7
2012061018;7
2012061100;-999
2012061106;7
2012061112;5
2012061118;6
2012061200;-999
2012061206;7
2012061212;8
2012061218;7
2012061300;-999
2012061306;6
2012061312;5
2012061318;2
2012061400;-999
2012061406;7
2012061412;7
2012061418;3
2012061500;-999
2012061506;6
2012061512;7
2012061518;8
2012061600;-999
2012061606;7
2012061612;7
2012061618;7
2012061700;-999
2012061706;2
2012061712;7
2012061718;7
2012061800;-999
2012061806;4
2012061812;7
2012061818;8
2012061900;-999
2012061906;3
2012061912;7
2012061918;6
2012062000;-999
2012062006;7
2012062012;7
2012062018;3
2012062100;-999
2012062106;2
2012062112;5
2012062118;5
2012062200;-999
2012062206;8
2012062212;3
2012062218;7
2012062300;-999
2012062306;4
2012062312;7
2012062318;6
2012062400;-999
2012062406;8
2012062412;8
2012062418;8
2012062500;-999
2012062506;7
2012062512;5
2012062518;7
2012062600;-999
2012062606;8
2012062612;7
2012062618;5
2012062700;-999
2012062706;7
2012062712;7
2012062718;6
2012062800;-999
2012062806;7
2012062812;7
2012062818;7
2012062900;-999
2012062906;7
2012062912;5
2012062918;7
2012063000;-999
2012063006;5
2012063012;4
2012063018;1
2012070100;-999
2012070106;7
2012070112;3
2012070118;7
2012070200;-999
2012070206;2
2012070212;5
2012070218;7
2012070300;-999
2012070306;7
2012070312;3
2012070318;7
2012070400;-999
2012070406;4
2012070412;2
2012070418;6
2012070500;-999
2012070506;8
2012070512;8
2012070518;6
2012070600;-999
2012070606;8
2012070612;8
2012070618;7
2012070700;-999
2012070706;8
2012070712;8
2012070718;6
2012070800;-999
2012070806;1
2012070812;4
2012070818;7
2012070900;-999
2012070906;6
2012070912;8
2012070918;8
2012071000;-999
2012071006;7
2012071012;6
2012071018;7
2012071100;-999
2012071106;8
2012071112;7
2012071118;6
2012071200;-999
2012071206;8
2012071212;7
2012071218;6
2012071300;-999
2012071306;6
2012071312;7
2012071318;7
2012071400;-999
2012071406;7
2012071412;7
2012071418;6
2012071500;-999
2012071506;7
2012071512;3
2012071518;6
2012071600;-999
2012071606;3
2012071612;6
2012071618;7
2012071700;-999
2012071706;5
2012071712;6
2012071718;7
2012071800;-999
2012071806;7
2012071812;7
2012071818;8
2012071900;-999
2012071906;8
2012071912;5
2012071918;8
2012072000;-999
2012072006;8
2012072012;7
2012072018;7
2012072100;-999
2012072106;4
2012072112;7
2012072118;7
2012072200;-999
2012072206;6
2012072212;6
2012072218;6
2012072300;-999
2012072306;3
2012072312;3
2012072318;1
2012072400;-999
2012072406;2
2012072412;1
2012072418;2
2012072500;-999
2012072506;1
2012072512;2
2012072518;1
2012072600;-999
2012072606;1
2012072612;0
2012072618;0
2012072700;-999
2012072706;0
2012072712;1
2012072718;6
2012072800;-999
2012072806;6
2012072812;7
2012072818;5
2012072900;-999
2012072906;7
2012072912;8
2012072918;7
2012073000;-999
2012073006;6
2012073012;7
2012073018;4
2012073100;-999
2012073106;7
2012073112;6
2012073118;7
2012080100;-999
2012080106;7
2012080112;7
2012080118;3
2012080200;-999
2012080206;6
2012080212;5
2012080218;7
2012080300;-999
2012080306;1
2012080312;2
2012080318;7
2012080400;-999
2012080406;3
2012080412;7
2012080418;3
2012080500;-999
2012080506;7
2012080512;7
2012080518;7
2012080600;-999
2012080606;8
2012080612;1
2012080618;4
2012080700;-999
2012080706;6
2012080712;7
2012080718;5
2012080800;-999
2012080806;3
2012080812;3
2012080818;2
2012080900;-999
2012080906;7
2012080912;6
2012080918;5
2012081000;-999
2012081006;7
2012081012;7
2012081018;6
2012081100;-999
2012081106;1
2012081112;5
2012081118;1
2012081200;-999
2012081206;1
2012081212;1
2012081218;1
2012081300;-999
2012081306;2
2012081312;1
2012081318;1
2012081400;-999
2012081406;2
2012081412;2
2012081418;1
2012081500;-999
2012081506;3
2012081512;3
2012081518;2
2012081600;-999
2012081606;7
2012081612;8
2012081618;7
2012081700;-999
2012081706;5
2012081712;7
2012081718;4
2012081800;-999
2012081806;6
2012081812;7
2012081818;1
2012081900;-999
2012081906;1
2012081912;1
2012081918;1
2012082000;-999
2012082006;7
2012082012;5
2012082018;7
2012082100;-999
2012082106;7
2012082112;7
2012082118;4
2012082200;-999
2012082206;0
2012082212;1
2012082218;4
2012082300;-999
2012082306;2
2012082312;4
2012082318;7
2012082400;-999
2012082406;7
2012082412;7
2012082418;7
2012082500;-999
2012082506;8
2012082512;7
2012082518;7
2012082600;-999
2012082606;1
2012082612;7
2012082618;5
2012082700;-999
2012082706;6
2012082712;1
2012082718;6
2012082800;-999
2012082806;7
2012082812;7
2012082818;7
2012082900;-999
2012082906;7
2012082912;4
2012082918;5
2012083000;-999
2012083006;7
2012083012;7
2012083018;7
2012083100;-999
2012083106;7
2012083112;6
2012083118;4
2012090100;-999
2012090106;7
2012090112;6
2012090118;5
2012090200;-999
2012090206;5
2012090212;5
2012090218;7
2012090300;-999
2012090306;7
2012090312;7
2012090318;4
2012090400;-999
2012090406;6
2012090412;4
2012090418;7
2012090500;-999
2012090506;7
2012090512;7
2012090518;7
2012090600;-999
2012090606;4
2012090612;5
2012090618;7
2012090700;-999
2012090706;8
2012090712;8
2012090718;6
2012090800;-999
2012090806;6
2012090812;7
2012090818;3
2012090900;-999
2012090906;7
2012090912;6
2012090918;4
2012091000;-999
2012091006;6
2012091012;6
2012091018;5
2012091100;-999
2012091106;7
2012091112;8
2012091118;7
2012091200;-999
2012091206;6
2012091212;3
2012091218;7
2012091300;-999
2012091306;5
2012091312;3
2012091318;7
2012091400;-999
2012091406;7
2012091412;7
2012091418;7
2012091500;-999
2012091506;7
2012091512;8
2012091518;6
2012091600;-999
2012091606;7
2012091612;1
2012091618;4
2012091700;-999
2012091706;7
2012091712;6
2012091718;4
2012091800;-999
2012091806;6
2012091812;7
2012091818;6
2012091900;-999
2012091906;1
2012091912;7
2012091918;6
2012092000;-999
2012092006;3
2012092012;7
2012092018;8
2012092100;-999
2012092106;7
2012092112;7
2012092118;8
2012092200;-999
2012092206;8
2012092212;7
2012092218;1
2012092300;-999
2012092306;2
2012092312;3
2012092318;6
2012092400;-999
2012092406;7
2012092412;8
2012092418;8
2012092500;-999
2012092506;6
2012092512;7
2012092518;7
2012092600;-999
