Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5516;Fehmarn;VK_TER;14.04.1951-15:00;15.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;15.04.1951-15:00;16.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;16.04.1951-15:00;17.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;17.04.1951-15:00;18.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;18.04.1951-15:00;19.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;19.04.1951-15:00;20.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;20.04.1951-15:00;21.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;21.04.1951-15:00;22.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;22.04.1951-15:00;23.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;23.04.1951-15:00;24.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;24.04.1951-15:00;25.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;25.04.1951-15:00;26.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;26.04.1951-15:00;27.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;27.04.1951-15:00;28.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;28.04.1951-15:00;29.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;29.04.1951-15:00;30.04.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;30.04.1951-15:00;01.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;01.05.1951-15:00;02.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;02.05.1951-15:00;03.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;03.05.1951-15:00;04.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;04.05.1951-15:00;05.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;05.05.1951-15:00;06.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;06.05.1951-15:00;07.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;07.05.1951-15:00;08.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;08.05.1951-15:00;09.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;09.05.1951-15:00;10.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;10.05.1951-15:00;11.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;11.05.1951-15:00;12.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;12.05.1951-15:00;13.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;13.05.1951-15:00;14.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;14.05.1951-15:00;15.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;15.05.1951-15:00;16.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;16.05.1951-15:00;17.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;17.05.1951-15:00;18.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;18.05.1951-15:00;19.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;19.05.1951-15:00;20.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;20.05.1951-15:00;21.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;21.05.1951-15:00;22.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;22.05.1951-15:00;23.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;23.05.1951-15:00;24.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;24.05.1951-15:00;25.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;25.05.1951-15:00;26.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;26.05.1951-15:00;27.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;27.05.1951-15:00;28.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;28.05.1951-15:00;29.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;29.05.1951-15:00;30.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;30.05.1951-15:00;31.05.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;31.05.1951-15:00;01.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;01.06.1951-15:00;02.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;02.06.1951-15:00;03.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;03.06.1951-15:00;04.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;04.06.1951-15:00;05.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;05.06.1951-15:00;06.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;06.06.1951-15:00;07.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;07.06.1951-15:00;08.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;08.06.1951-15:00;09.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;09.06.1951-15:00;10.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;10.06.1951-15:00;11.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;11.06.1951-15:00;12.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;12.06.1951-15:00;13.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;13.06.1951-15:00;14.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;14.06.1951-15:00;15.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;15.06.1951-15:00;16.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;16.06.1951-15:00;17.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;17.06.1951-15:00;18.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;18.06.1951-15:00;19.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;19.06.1951-15:00;20.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;20.06.1951-15:00;21.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;21.06.1951-15:00;22.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;22.06.1951-15:00;23.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;23.06.1951-15:00;24.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;24.06.1951-15:00;25.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;25.06.1951-15:00;26.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;26.06.1951-15:00;27.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;27.06.1951-15:00;28.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;28.06.1951-15:00;29.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;29.06.1951-15:00;30.06.1951-06:00;1;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;30.06.1951-15:00;01.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;01.07.1951-15:00;02.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;02.07.1951-15:00;03.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;03.07.1951-15:00;04.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;04.07.1951-15:00;05.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;05.07.1951-15:00;06.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;06.07.1951-15:00;07.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;07.07.1951-15:00;08.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;08.07.1951-15:00;09.07.1951-13:00;2;;eor;                                                                                                                                           
5516;Fehmarn;VK_TER;09.07.1951-15:00;10.07.1951-13:00;2;;eor;                                                                                                                                           
