date;prev_temp;prev_hum;temp;humidity;coverage;range;wind_dir;wind_str;prec
010318;0.9576923076923076;84.96153846153847;0.5807692307692308;87.84615384615384;7;6.153846153846154;17;3;2.3153846153846156
010321;0.9880000000000001;85.56;-0.596;90.36;6;6.04;16;3;1.712
010400;-1.7000000000000004;91.14285714285714;-2.6285714285714286;91.42857142857143;4;5.857142857142857;19;3;0.8285714285714285
010406;0.3307692307692308;87.92307692307692;-0.18846153846153843;87.53846153846153;6;6.538461538461538;18;3;1.2576923076923079
010407;-0.33461538461538454;89.6923076923077;-1.0923076923076924;89.76923076923077;6;6.384615384615385;18;3;0.9884615384615384
010412;-0.18846153846153843;87.53846153846153;1.1192307692307693;82.3076923076923;6;6.884615384615385;17;3;1.2576923076923079
010414;-1.0923076923076924;89.76923076923077;0.423076923076923;84.53846153846153;5;6.269230769230769;18;3;0.9884615384615384
010418;1.1192307692307693;82.3076923076923;0.26538461538461555;85.76923076923077;6;6.769230769230769;18;3;1.2576923076923079
010421;0.176;84.48;-0.7959999999999999;89.32;6;6.04;16;3;0.9520000000000001
010500;-1.542857142857143;90.0;-3.9857142857142853;92.85714285714286;3;6.285714285714286;13;2;1.657142857142857
010506;-0.7555555555555554;86.55555555555556;-1.3518518518518519;89.0;6;6.296296296296297;16;2;1.0592592592592593
010507;-0.5115384615384616;89.1923076923077;-0.5846153846153846;90.65384615384616;6;6.346153846153846;18;3;2.1923076923076925
010512;-1.3518518518518519;89.0;0.2629629629629629;83.51851851851852;6;6.481481481481482;17;2;1.0592592592592593
010514;-0.5846153846153846;90.65384615384616;1.15;86.42307692307692;7;6.1923076923076925;19;3;2.1923076923076925
010518;0.4653846153846153;84.26923076923077;-0.2576923076923077;86.73076923076923;6;6.653846153846154;19;3;1.1
010521;0.988;86.84;0.6199999999999999;91.08;7;5.96;18;3;2.28
010600;-1.5;93.14285714285714;-2.742857142857143;90.71428571428571;7;5.714285714285714;17;2;0.042857142857142864
010606;-0.9642857142857143;85.35714285714286;-1.9214285714285713;87.67857142857143;6;6.392857142857143;18;3;1.0214285714285716
010607;0.7961538461538461;90.5;0.1076923076923077;91.88461538461539;7;6.230769230769231;19;3;1.6538461538461537
010612;-1.9214285714285713;87.67857142857143;-0.35714285714285715;83.21428571428571;6;6.571428571428571;19;3;1.0214285714285716
010614;0.1076923076923077;91.88461538461539;1.4692307692307693;86.84615384615384;6;6.384615384615385;17;3;1.6538461538461537
010618;0.007692307692307699;83.88461538461539;-0.9538461538461538;89.88461538461539;6;6.5;20;2;0.9153846153846155
010621;1.436;86.64;0.3080000000000001;89.72;5;6.16;17;3;1.66
010700;-4.271428571428571;89.14285714285714;-4.4;89.85714285714286;7;5.285714285714286;14;2;0.9142857142857143
010706;-1.282142857142857;88.96428571428571;-2.507142857142857;89.32142857142857;6;6.321428571428571;17;2;1.3714285714285714
010707;0.3846153846153847;89.8076923076923;0.019230769230769138;89.26923076923077;6;6.576923076923077;16;3;1.5846153846153845
010712;-2.507142857142857;89.32142857142857;-0.3821428571428572;87.53571428571429;6;6.035714285714286;16;2;1.3714285714285714
010714;0.019230769230769138;89.26923076923077;1.5269230769230768;86.0;7;6.1923076923076925;18;3;1.5846153846153845
010718;-0.06153846153846158;87.3076923076923;-0.6423076923076922;90.53846153846153;6;6.230769230769231;17;2;1.4423076923076923
010721;1.268;86.72;-0.2079999999999999;91.4;6;6.04;15;3;1.648
010800;-3.1714285714285713;91.14285714285714;-3.5571428571428574;89.71428571428571;6;5.571428571428571;10;2;0.05714285714285715
010806;-1.0178571428571428;90.17857142857143;-1.6464285714285711;91.75;6;6.035714285714286;17;2;1.8464285714285715
010807;0.10769230769230781;90.5;-0.25384615384615383;92.03846153846153;7;6.0;16;3;1.9538461538461538
010812;-1.6464285714285711;91.75;0.5357142857142858;89.07142857142857;7;6.035714285714286;17;2;1.8464285714285715
010814;-0.25384615384615383;92.03846153846153;1.3346153846153848;87.5;7;6.346153846153846;18;3;1.9538461538461538
010818;0.8153846153846154;88.73076923076923;-0.1692307692307691;90.46153846153847;6;6.230769230769231;17;2;1.9846153846153847
