datetime;value
2012062714;-999
2012062721;-999
2012062807;-999
2012062814;-999
2012062821;-999
2012062907;-999
2012062914;-999
2012062921;-999
2012063007;-999
2012063014;-999
2012063021;-999
2012070107;-999
2012070114;-999
2012070121;-999
2012070207;-999
2012070214;-999
2012070221;-999
2012070307;-999
2012070314;-999
2012070321;-999
2012070407;-999
2012070414;-999
2012070421;-999
2012070507;-999
2012070514;-999
2012070521;-999
2012070607;-999
2012070614;-999
2012070621;-999
2012070707;-999
2012070714;-999
2012070721;-999
2012070807;-999
2012070814;-999
2012070821;-999
2012070907;-999
2012070914;-999
2012070921;-999
2012071007;-999
2012071014;-999
2012071021;-999
2012071107;-999
2012071114;-999
2012071121;-999
2012071207;-999
2012071214;-999
2012071221;-999
2012071307;-999
2012071314;-999
2012071321;-999
2012071407;-999
2012071414;-999
2012071421;-999
2012071507;-999
2012071514;-999
2012071521;-999
2012071607;-999
2012071614;-999
2012071621;-999
2012071707;-999
2012071714;-999
2012071721;-999
2012071807;-999
2012071814;-999
2012071821;-999
2012071907;-999
2012071914;-999
2012071921;-999
2012072007;-999
2012072014;-999
2012072021;-999
2012072107;-999
2012072114;-999
2012072121;-999
2012072207;-999
2012072214;-999
2012072221;-999
2012072307;-999
2012072314;-999
2012072321;-999
2012072407;-999
2012072414;-999
2012072421;-999
2012072507;-999
2012072514;-999
2012072521;-999
2012072607;-999
2012072614;-999
2012072621;-999
2012072707;-999
2012072714;-999
2012072721;-999
2012072807;-999
2012072814;-999
2012072821;-999
2012072907;-999
2012072914;-999
2012072921;-999
2012073007;-999
2012073014;-999
2012073021;-999
2012073107;-999
2012073114;-999
2012073121;-999
2012080107;-999
2012080114;-999
2012080121;-999
2012080207;-999
2012080214;-999
2012080221;-999
2012080307;-999
2012080314;-999
2012080321;-999
2012080407;-999
2012080414;-999
2012080421;-999
2012080507;-999
2012080514;-999
2012080521;-999
2012080607;-999
2012080614;-999
2012080621;-999
2012080707;-999
2012080714;-999
2012080721;-999
2012080807;-999
2012080814;-999
2012080821;-999
2012080907;-999
2012080914;-999
2012080921;-999
2012081007;-999
2012081014;-999
2012081021;-999
2012081107;-999
2012081114;-999
2012081121;-999
2012081207;-999
2012081214;-999
2012081221;-999
2012081307;-999
2012081314;-999
2012081321;-999
2012081407;-999
2012081414;-999
2012081421;-999
2012081507;-999
2012081514;-999
2012081521;-999
2012081607;-999
2012081614;-999
2012081621;-999
2012081707;-999
2012081714;-999
2012081721;-999
2012081807;-999
2012081814;-999
2012081821;-999
2012081907;-999
2012081914;-999
2012081921;-999
2012082007;-999
2012082014;-999
2012082021;-999
2012082107;-999
2012082114;-999
2012082121;-999
2012082207;-999
2012082214;-999
2012082221;-999
2012082307;-999
2012082314;-999
2012082321;-999
2012082407;-999
2012082414;-999
2012082421;-999
2012082507;-999
2012082514;-999
2012082521;-999
2012082607;-999
2012082614;-999
2012082621;-999
2012082707;-999
2012082714;-999
2012082721;-999
2012082807;-999
2012082814;-999
2012082821;-999
2012082907;-999
2012082914;-999
2012082921;-999
2012083007;-999
2012083014;-999
2012083021;-999
2012083107;-999
2012083114;-999
2012083121;-999
2012090107;-999
2012090114;-999
2012090121;-999
2012090207;-999
2012090214;-999
2012090221;-999
2012090307;-999
2012090314;-999
2012090321;-999
2012090407;-999
2012090414;-999
2012090421;-999
2012090507;-999
2012090514;-999
2012090521;-999
2012090607;-999
2012090614;-999
2012090621;-999
2012090707;-999
2012090714;-999
2012090721;-999
2012090807;-999
2012090814;-999
2012090821;-999
2012090907;-999
2012090914;-999
2012090921;-999
2012091007;-999
2012091014;-999
2012091021;-999
2012091107;-999
2012091114;-999
2012091121;-999
2012091207;-999
2012091214;-999
2012091221;-999
2012091307;-999
2012091314;-999
2012091321;-999
2012091407;-999
2012091414;-999
2012091421;-999
2012091507;-999
2012091514;-999
2012091521;-999
2012091607;-999
2012091614;-999
2012091621;-999
2012091707;-999
2012091714;-999
2012091721;-999
2012091807;-999
2012091814;-999
2012091821;-999
2012091907;-999
2012091914;-999
2012091921;-999
2012092007;-999
2012092014;-999
2012092021;-999
2012092107;-999
2012092114;-999
2012092121;-999
2012092207;-999
2012092214;-999
2012092221;-999
2012092307;-999
2012092314;-999
2012092321;-999
2012092407;-999
2012092414;-999
2012092421;-999
2012092507;-999
2012092514;-999
2012092521;-999
2012092607;-999
2012092614;-999
2012092621;-999
2012092707;-999
2012092714;-999
2012092721;-999
2012092807;-999
2012092814;-999
2012092821;-999
2012092907;-999
2012092914;-999
2012092921;-999
2012093007;-999
2012093014;-999
2012093021;-999
2012100107;-999
2012100114;-999
2012100121;-999
2012100207;-999
2012100214;-999
2012100221;-999
2012100307;-999
2012100314;-999
2012100321;-999
2012100407;-999
2012100414;-999
2012100421;-999
2012100507;-999
2012100514;-999
2012100521;-999
2012100607;-999
2012100614;-999
2012100621;-999
2012100707;-999
2012100714;-999
2012100721;-999
2012100807;-999
2012100814;-999
2012100821;-999
2012100907;-999
2012100914;-999
2012100921;-999
2012101007;-999
2012101014;-999
2012101021;-999
2012101107;-999
2012101114;-999
2012101121;-999
2012101207;-999
2012101214;-999
2012101221;-999
2012101307;-999
2012101314;-999
2012101321;-999
2012101407;-999
2012101414;-999
2012101421;-999
2012101507;-999
2012101514;-999
2012101521;-999
2012101607;-999
2012101614;-999
2012101621;-999
2012101707;-999
2012101714;-999
2012101721;-999
2012101807;-999
2012101814;-999
2012101821;-999
2012101907;-999
2012101914;-999
2012101921;-999
2012102007;-999
2012102014;-999
2012102021;-999
2012102107;-999
2012102114;-999
2012102121;-999
2012102207;-999
2012102214;-999
2012102221;-999
2012102307;-999
2012102314;-999
2012102321;-999
2012102407;-999
2012102414;-999
2012102421;-999
2012102507;-999
2012102514;-999
2012102521;-999
2012102607;-999
2012102614;-999
2012102621;-999
2012102707;-999
2012102714;-999
2012102721;-999
2012102807;-999
2012102814;-999
2012102821;-999
2012102907;-999
2012102914;-999
2012102921;-999
2012103007;-999
2012103014;-999
2012103021;-999
2012103107;-999
2012103114;-999
2012103121;-999
2012110107;-999
2012110114;-999
2012110121;-999
2012110207;-999
2012110214;-999
2012110221;-999
2012110307;-999
2012110314;-999
2012110321;-999
2012110407;-999
2012110414;-999
2012110421;-999
2012110507;-999
2012110514;-999
2012110521;-999
2012110607;-999
2012110614;-999
2012110621;-999
2012110707;-999
2012110714;-999
2012110721;-999
2012110807;-999
2012110814;-999
2012110821;-999
2012110907;-999
2012110914;-999
2012110921;-999
2012111007;-999
2012111014;-999
2012111021;-999
2012111107;-999
2012111114;-999
2012111121;-999
2012111207;-999
2012111214;-999
2012111221;-999
2012111307;-999
2012111314;-999
2012111321;-999
2012111407;-999
2012111414;-999
2012111421;-999
2012111507;-999
2012111514;-999
2012111521;-999
2012111607;-999
2012111614;-999
2012111621;-999
2012111707;-999
2012111714;-999
2012111721;-999
2012111807;-999
2012111814;-999
2012111821;-999
2012111907;-999
2012111914;-999
2012111921;-999
2012112007;-999
2012112014;-999
2012112021;-999
2012112107;-999
2012112114;-999
2012112121;-999
2012112207;-999
2012112214;-999
2012112221;-999
2012112307;-999
2012112314;-999
2012112321;-999
2012112407;-999
2012112414;-999
2012112421;-999
2012112507;-999
2012112514;-999
2012112521;-999
2012112607;-999
2012112614;-999
2012112621;-999
2012112707;-999
2012112714;-999
2012112721;-999
2012112807;-999
2012112814;-999
2012112821;-999
2012112907;-999
2012112914;-999
2012112921;-999
2012113007;-999
2012113014;-999
2012113021;-999
2012120107;-999
2012120114;-999
2012120121;-999
2012120207;-999
2012120214;-999
2012120221;-999
2012120307;-999
2012120314;-999
2012120321;-999
2012120407;-999
2012120414;-999
2012120421;-999
2012120507;-999
2012120514;-999
2012120521;-999
2012120607;-999
2012120614;-999
2012120621;-999
2012120707;-999
2012120714;-999
2012120721;-999
2012120807;-999
2012120814;-999
2012120821;-999
2012120907;-999
2012120914;-999
2012120921;-999
2012121007;-999
2012121014;-999
2012121021;-999
2012121107;-999
2012121114;-999
2012121121;-999
2012121207;-999
2012121214;-999
2012121221;-999
2012121307;-999
2012121314;-999
2012121321;-999
2012121407;-999
2012121414;-999
2012121421;-999
2012121507;-999
2012121514;-999
2012121521;-999
2012121607;-999
2012121614;-999
2012121621;-999
2012121707;-999
2012121714;-999
2012121721;-999
2012121807;-999
2012121814;-999
2012121821;-999
2012121907;-999
2012121914;-999
2012121921;-999
2012122007;-999
2012122014;-999
2012122021;-999
2012122107;-999
2012122114;-999
2012122121;-999
2012122207;-999
2012122214;-999
2012122221;-999
2012122307;-999
2012122314;-999
2012122321;-999
2012122407;-999
2012122414;-999
2012122421;-999
2012122507;-999
2012122514;-999
2012122521;-999
2012122607;-999
2012122614;-999
2012122621;-999
2012122707;-999
2012122714;-999
2012122721;-999
2012122807;-999
2012122814;-999
2012122821;-999
2012122907;-999
2012122914;-999
2012122921;-999
2012123007;-999
2012123014;-999
2012123021;-999
2012123107;-999
2012123114;-999
2012123121;-999
2013010107;-999
2013010114;-999
2013010121;-999
2013010207;-999
2013010214;-999
2013010221;-999
2013010307;-999
2013010314;-999
2013010321;-999
2013010407;-999
2013010414;-999
2013010421;-999
2013010507;-999
2013010514;-999
2013010521;-999
2013010607;-999
2013010614;-999
2013010621;-999
2013010707;-999
2013010714;-999
2013010721;-999
2013010807;-999
2013010814;-999
2013010821;-999
2013010907;-999
2013010914;-999
2013010921;-999
2013011007;-999
2013011014;-999
2013011021;-999
2013011107;-999
2013011114;-999
2013011121;-999
2013011207;-999
2013011214;-999
2013011221;-999
2013011307;-999
2013011314;-999
2013011321;-999
2013011407;-999
2013011414;-999
2013011421;-999
2013011507;-999
2013011514;-999
2013011521;-999
2013011607;-999
2013011614;-999
2013011621;-999
2013011707;-999
2013011714;-999
2013011721;-999
2013011807;-999
2013011814;-999
2013011821;-999
2013011907;-999
2013011914;-999
2013011921;-999
2013012007;-999
2013012014;-999
2013012021;-999
2013012107;-999
2013012114;-999
2013012121;-999
2013012207;-999
2013012214;-999
2013012221;-999
2013012307;-999
2013012314;-999
2013012321;-999
2013012407;-999
2013012414;-999
2013012421;-999
2013012507;-999
2013012514;-999
2013012521;-999
2013012607;-999
2013012614;-999
2013012621;-999
2013012707;-999
2013012714;-999
2013012721;-999
2013012807;-999
2013012814;-999
2013012821;-999
2013012907;-999
2013012914;-999
2013012921;-999
2013013007;-999
2013013014;-999
2013013021;-999
2013013107;-999
2013013114;-999
2013013121;-999
2013020107;-999
2013020114;-999
2013020121;-999
2013020207;-999
2013020214;-999
2013020221;-999
2013020307;-999
2013020314;-999
2013020321;-999
2013020407;-999
2013020414;-999
2013020421;-999
2013020507;-999
2013020514;-999
2013020521;-999
2013020607;-999
2013020614;-999
2013020621;-999
2013020707;-999
2013020714;-999
2013020721;-999
2013020807;-999
2013020814;-999
2013020821;-999
2013020907;-999
2013020914;-999
2013020921;-999
2013021007;-999
2013021014;-999
2013021021;-999
2013021107;-999
2013021114;-999
2013021121;-999
2013021207;-999
2013021214;-999
2013021221;-999
2013021307;-999
2013021314;-999
2013021321;-999
2013021407;-999
2013021414;-999
2013021421;-999
2013021507;-999
2013021514;-999
2013021521;-999
2013021607;-999
2013021614;-999
2013021621;-999
2013021707;-999
2013021714;-999
