year;month;day;hour;value
1946;11;10;21;8
1946;11;11;7;8
1946;11;11;14;5
1946;11;11;21;1
1946;11;12;7;0
1946;11;12;14;0
1946;11;12;21;0
1946;11;13;7;0
1946;11;13;14;0
1946;11;13;21;0
1946;11;14;7;0
1946;11;14;14;4
1946;11;14;21;0
1946;11;15;7;8
1946;11;15;14;8
1946;11;15;21;8
1946;11;16;7;8
1946;11;16;14;6
1946;11;16;21;8
1946;11;17;7;8
1946;11;17;14;8
1946;11;17;21;8
1946;11;18;7;4
1946;11;18;14;6
1946;11;18;21;8
1946;11;19;7;8
1946;11;19;14;8
1946;11;19;21;8
1946;11;20;7;3
1946;11;20;14;3
1946;11;20;21;2
1946;11;21;7;8
1946;11;21;14;1
1946;11;21;21;0
1946;11;22;7;3
1946;11;22;14;8
1946;11;22;21;8
1946;11;23;7;5
1946;11;23;14;4
1946;11;23;21;0
1946;11;24;7;5
1946;11;24;14;1
1946;11;24;21;8
1946;11;25;7;4
1946;11;25;14;3
1946;11;25;21;4
1946;11;26;7;1
1946;11;26;14;8
1946;11;26;21;8
1946;11;27;7;1
1946;11;27;14;1
1946;11;27;21;0
1946;11;28;7;0
1946;11;28;14;0
1946;11;28;21;8
1946;11;29;7;8
1946;11;29;14;8
1946;11;29;21;8
1946;11;30;7;8
1946;11;30;14;5
1946;11;30;21;5
1946;12;1;7;8
1946;12;1;14;6
1946;12;1;21;6
1946;12;2;7;5
1946;12;2;14;4
1946;12;2;21;6
1946;12;3;7;6
1946;12;3;14;4
1946;12;3;21;8
1946;12;4;7;8
1946;12;4;14;8
1946;12;4;21;8
1946;12;5;7;8
1946;12;5;14;8
1946;12;5;21;8
1946;12;6;7;8
1946;12;6;14;8
1946;12;6;21;7
1946;12;7;7;8
1946;12;7;14;6
1946;12;7;21;6
1946;12;8;7;6
1946;12;8;14;0
1946;12;8;21;8
1946;12;9;7;8
1946;12;9;14;8
1946;12;9;21;8
1946;12;10;7;8
1946;12;10;14;8
1946;12;10;21;8
1946;12;11;7;8
1946;12;11;14;8
1946;12;11;21;7
1946;12;12;7;7
1946;12;12;14;8
1946;12;12;21;8
1946;12;13;7;8
1946;12;13;14;8
1946;12;13;21;8
1946;12;14;7;8
1946;12;14;14;8
1946;12;14;21;8
1946;12;15;7;8
1946;12;15;14;8
1946;12;15;21;8
1946;12;16;7;8
1946;12;16;14;8
1946;12;16;21;8
1946;12;17;7;8
1946;12;17;14;0
1946;12;17;21;0
1946;12;18;7;6
1946;12;18;14;5
1946;12;18;21;4
1946;12;19;7;8
1946;12;19;14;5
1946;12;19;21;8
1946;12;20;7;8
1946;12;20;14;8
1946;12;20;21;8
1946;12;21;7;0
1946;12;21;14;8
1946;12;21;21;8
1946;12;22;7;8
1946;12;22;14;0
1946;12;22;21;8
1946;12;23;7;8
1946;12;23;14;8
1946;12;23;21;8
1946;12;24;7;8
1946;12;24;14;4
1946;12;24;21;4
1946;12;25;7;8
1946;12;25;14;7
1946;12;25;21;8
1946;12;26;7;4
1946;12;26;14;6
1946;12;26;21;8
1946;12;27;7;6
1946;12;27;14;8
1946;12;27;21;8
1946;12;28;7;8
1946;12;28;14;8
1946;12;28;21;8
1946;12;29;7;7
1946;12;29;14;7
1946;12;29;21;8
1946;12;30;7;8
1946;12;30;14;8
1946;12;30;21;8
1946;12;31;7;0
1946;12;31;14;0
1946;12;31;21;6
1947;1;1;7;8
1947;1;1;14;8
1947;1;1;21;8
1947;1;2;7;7
1947;1;2;14;8
1947;1;2;21;7
1947;1;3;7;8
1947;1;3;14;6
1947;1;3;21;8
1947;1;4;7;8
1947;1;4;14;6
1947;1;4;21;8
1947;1;5;7;8
1947;1;5;14;1
1947;1;5;21;6
1947;1;6;7;2
1947;1;6;14;0
1947;1;6;21;2
1947;1;7;7;8
1947;1;7;14;8
1947;1;7;21;6
1947;1;8;7;6
1947;1;8;14;7
1947;1;8;21;6
1947;1;9;7;7
1947;1;9;14;7
1947;1;9;21;8
1947;1;10;7;8
1947;1;10;14;8
1947;1;10;21;8
1947;1;11;7;7
1947;1;11;14;8
1947;1;11;21;8
1947;1;12;7;8
1947;1;12;14;8
1947;1;12;21;0
1947;1;13;7;7
1947;1;13;14;7
1947;1;13;21;8
1947;1;14;7;7
1947;1;14;14;4
1947;1;14;21;8
1947;1;15;7;6
1947;1;15;14;5
1947;1;15;21;0
1947;1;16;7;1
1947;1;16;14;0
1947;1;16;21;0
1947;1;17;7;0
1947;1;17;14;1
1947;1;17;21;0
1947;1;18;7;7
