STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       2712;1973012021;    5;  24;   2;eor
       2712;1973012107;    5;  24;   2;eor
       2712;1973012114;    5;  24;   2;eor
       2712;1973012121;    5;   0;   0;eor
       2712;1973012207;    5;   0;   0;eor
       2712;1973012214;    5;  24;   1;eor
       2712;1973012221;    5;  28;   1;eor
       2712;1973012307;    5;  24;   2;eor
       2712;1973012314;    5;   0;   0;eor
       2712;1973012321;    5;  32;   1;eor
       2712;1973012407;    5;  32;   2;eor
       2712;1973012414;    5;  32;   2;eor
       2712;1973012421;    5;  32;   2;eor
       2712;1973012507;    5;   4;   2;eor
       2712;1973012514;    5;  24;   1;eor
       2712;1973012521;    5;  24;   1;eor
       2712;1973012607;    5;  24;   1;eor
       2712;1973012614;    5;   0;   0;eor
       2712;1973012621;    5;  20;   1;eor
       2712;1973012707;    5;  20;   2;eor
       2712;1973012714;    5;  24;   4;eor
       2712;1973012721;    5;  20;   3;eor
       2712;1973012807;    5;  24;   2;eor
       2712;1973012814;    5;  24;   2;eor
       2712;1973012821;    5;  24;   2;eor
       2712;1973012907;    5;  24;   2;eor
       2712;1973012914;    5;  20;   2;eor
       2712;1973012921;    5;  24;   3;eor
       2712;1973013007;    5;  24;   1;eor
       2712;1973013014;    5;  20;   2;eor
       2712;1973013021;    5;  24;   2;eor
       2712;1973013107;    5;  20;   1;eor
       2712;1973013114;    5;  20;   1;eor
       2712;1973013121;    5;  24;   2;eor
       2712;1973020107;    5;  28;   1;eor
       2712;1973020114;    5;  32;   2;eor
       2712;1973020121;    5;  32;   1;eor
       2712;1973020207;    5;  32;   2;eor
       2712;1973020214;    5;   4;   3;eor
       2712;1973020221;    5;   4;   2;eor
       2712;1973020307;    5;   4;   3;eor
       2712;1973020314;    5;   4;   3;eor
       2712;1973020321;    5;   4;   2;eor
       2712;1973020407;    5;   4;   2;eor
       2712;1973020414;    5;   0;   0;eor
       2712;1973020421;    5;  32;   1;eor
       2712;1973020507;    5;  20;   2;eor
